"ชื่อร้าน","ชื่อผลิตภัณฑ์","ราคา","ลิงค์ผลิตภัณฑ์","ลิงค์รูปภาพ","จำนวนคำสั่งชำระเงินใน 30 วันที่ผ่านมา","อัตราการฟื้นตัว 48H ในช่วง 30 วันที่ผ่านมา","อัตราประสิทธิภาพ 48H ในช่วง 30 วันที่ผ่านมา","อัตราการตอบกลับ 3 นาทีในช่วง 30 วันที่ผ่านมา","อัตราการคืนเงินที่มีคุณภาพใน 30 วันที่ผ่านมา","อัตราการโต้แย้งใน 30 วันที่ผ่านมา","การรับรองความแข็งแกร่ง 1688","บริการทั่วไป","อัตราผลตอบแทน","แลกเปลี่ยนประสบการณ์","ประสบการณ์ที่มีคุณภาพ","ความตรงต่อเวลาของโลจิสติกส์","การระงับข้อพิพาท","ที่ปรึกษาการจัดซื้อจัดจ้าง","ลักษณะการลงทะเบียน","ช่วงเข้า","รูปแบบธุรกิจ","ที่ตั้ง","ที่อยู่","ข้อมูลติดต่อ","ระยะขอบ","ที่จัดตั้งขึ้น","พื้นที่องค์กร","จำนวนพนักงาน"
"深圳市华庭科技有限公司","适用苹果14promax镜头膜高清iPhone15pro手机12/13新款后摄像头","¥2.85","https://detail.1688.com/offer/688890378822.html","https://cbu01.alicdn.com/O1CN01RoCOdg2HsOy8JWsZe_!!2785939206-0-cib.jpg","3702","90.88%","90.85%","68.78%","0.24%","0%","供应商","4.0","44%","3.0","3.0","3.0","5.0","2.5","一人有限责任公司","9年","生产厂家","广东 深圳市龙岗区 深圳市龙岗区","中国广东深圳龙岗区平湖街道上木古社区新河路70号2#厂房301","13632525289","15985","2016/01/24","2000m²","51 - 100 人"
"深圳市合赛光电技术有限公司","山东厂家供应偏振镜 相机滤镜 无人机镜头 安防监控 UV镜等","¥10.00","https://dj.1688.com/ci_bb?a=20904&e=CyrDBdmGIMRnds0Do1QCD-QBfELY6sa3dFzsZZKSO9d53-szBORA4-0L7kE4U4gEa6y.8nWZ2Rv.mJbHMEOIrrGKzhsoJU9k88U-WF2lip5e4GehpwkkkppXZPaRmTvmwYvNNl75dIiaNBYcABM3p2qno5Tb9w3.JsrX1cToPXMG0u06NVIE8Nd71NDPedA-eSujQfkZSD7p8O3foI4G8Y.EW.M9CUxO6yGA3..tNkoEBHHfnjtXzJ-jnfiFxnyNsBqqKQpmuQ7mqMMOHqeCAWJ5XuKwtruSixZOyVg2Tk7kQtFpm4vbBGJNdVrL59BbyoJ-wZL0SfFeiXVuKKov3fX-0DWPo3PpynrhLk4AdhrmoodAtcDXB-IXILvuGJpi63NYObCDt4keHm1OV.G6PxnpNJ9xOIkawpD7KKqfUGxt29H-AWRbT2JZ1Y54K.zM5lNpelD.jfPF5r5izW.e1TjdxK20oHzNKjPYLomHFUWejSFaTzQtugxn0C0ODtDh2P4vEpUWydEZ3oIkroL7dTCZFBcm1x9pKhLO8Zo9Vd9.hS23KKJ238KBVJKGvUvT3FgBfEAzuH37iQN7Gqn1vsRSjk4a7UOCv93DlNH64.O-7SSiXuQhbhI00cQgIXrqGwsgJmesEOCKug.atifP4AhCNugIYGZMm07ZY9UA7KrXenvJM7aV0kZ9EXU71Wfw13p7yTO2ldJ0DXmnM-vZLsLEVK5PuGAUeUcuODVG9vQ2cN0oIzBvszVSyCp0K-9AuPbzEx1uVUZhvTaYzI4fqfSQnHWS0aI4LZCaXcPwaX5dJnYUhjh5kbeHVzsUipdt-B2eBwSyhx-QZxOEACyBY0ZIv0PYhr3PW3i5wqz0tKMQ.WAueynAN.yjhWzfQ-HpPDWKpmi5rf2pqJ9EEJadA6APBB.vgyY2fGmPBeSNVgbTNqiKfP-LR4w8OQL1E46udDjZzKzG4uhoLSlpKyRgscTPc0gVPNJNH.7Bx1Zl4iRTc8QBo23iO5Fzi6qLpaJh57wy2PVQI.-.TsxL-uF-DeXCrg8iSTEs-1d0xs7yQ6x.M-kAmpJNJVxIq6bN6P4cMdo8l5.XEnzkHqURFgRApowAwWS58P06UY-POCi5r-fX1HOd8oY3XJanM5Xw6LII8QMClIdtoakstNSCMjXLE8CWXMWk.YPcZAseTIbvBuHR7h-F5W9rfLmge52Tf0uxsEuJMtxXPkvr9vAQS7ltlgOZ7AiLxTJh5B6lERYEQKZJt8-BFuC40-umOxd3utG9AEbzbNSuzidkK9e8Yy-yZLPQpqBt3yTrlIZSQTwZZe8GeELyKPSCmYjC1aMyyHjzzsxJRjyF5nP86NKiMJqIdNkbOuKBfPXwAn4n.I6X4TU_&v=4&ap=4&rp=4&idx=18","https://cbu01.alicdn.com/img/ibank/O1CN014SZ4s91vV7DetOlny_!!2212901746177-0-cib.jpg","1","0%","0%","85.88%","0%","0%","","4.0","0%","3.0","3.0","3.0","5.0","3.0","有限责任公司","3年","生产厂家","广东 深圳市 深圳市","中国广东深圳龙岗区坪地街道高桥社区教育北路49号4栋401","19902915277","3000","2014/06/24","1500m²","11 - 50 人"
"深圳市福田区粤海光电通讯批发商行","金属鹰眼镜头膜适用华为P60后摄像头保护贴p60pro手机镜头膜Art","¥2.66","https://detail.1688.com/offer/712743541348.html","https://cbu01.alicdn.com/O1CN01709vis2HlzSxHC4qv_!!2201442949192-0-cib.jpg","10445","94.15%","94.13%","92.02%","0.07%","0%","供应商","5.0","37%","4.5","4.0","4.0","5.0","4.0","个体经营","5年","经销批发","广东 深圳市福田区 深圳市福田区","中国广东深圳福田区华强北街道福强社区华发北路5号龙胜手机市场2层1428","15012875558","15995","2019/06/05","","5 - 10 人"
"东莞市佰诚达电子科技有限公司","增透仿原摄像头14promax鹰眼圈iPhone15pro后摄像头保护圈膜玻璃","¥6.00","https://detail.1688.com/offer/746067200856.html","https://cbu01.alicdn.com/O1CN01lKj2jA1Cdg5FTF8zY_!!2216780080104-0-cib.jpg","242","74.34%","74.34%","67.46%","0.83%","0%","","4.0","25%","2.0","3.0","3.0","5.0","2.0","有限责任公司(自然人投资或控股)","1年","","广东 东莞市 东莞市","中国广东东莞长安镇岗厦南街3号1号楼","15986626669","2995","2023/10/18","",""
"深圳市福田区赛格康乐通信市场深米迪通讯行","适用苹果镜头保护膜iPhone15promax镜头圈 鹰眼镜头膜金属15","¥0.39","https://detail.1688.com/offer/608963994640.html","https://cbu01.alicdn.com/O1CN01kYcLmL1IgmH1fWGmX_!!2545350923-0-cib.jpg","282","100%","97.93%","88.7%","0%","0%","","5.0","58%","4.5","5.0","3.0","5.0","4.0","个体经营","9年","经销批发","广东 深圳市 深圳市","中国广东深圳福田区华强北街道华强路康乐大厦四楼4D05号","13798296001","10000","2014/04/08","","51 - 100 人"
"深圳市瑞丰锦铭科技有限公司","铁布衫适用苹果15promax镜头膜iPhone15AR蓝宝石摄像头保护膜","¥14.00","https://detail.1688.com/offer/739783017534.html","https://cbu01.alicdn.com/O1CN01KOC4Y81EUB5mozZ76_!!1742640354-0-cib.jpg","2910","97.56%","97.58%","69.69%","0.89%","0%","","4.0","26%","3.5","3.0","4.0","4.0","2.5","有限责任公司","11年","生产厂家","广东 深圳市宝安区 深圳市宝安区","中国广东深圳宝安区沙井街道沙一社区长兴科技园25栋F105-110","18311310349","9995","2013/07/09","2500m²","101 - 200 人"
"深圳市荣华雅科技有限公司","适用三星S24Ultra镜头膜定位鹰眼S23+手机摄像头保护膜S22镜头贴","¥3.99","https://detail.1688.com/offer/674874002358.html","https://cbu01.alicdn.com/O1CN01Klll8u1L2QH5xEYmO_!!2209567921241-0-cib.jpg","1200","97.26%","93.42%","72.69%","0.58%","0%","","5.0","50%","4.0","4.0","4.0","5.0","3.0","一人有限责任公司","4年","生产厂家","广东 深圳市福田区 深圳市福田区","中国广东深圳福田区华强北街道福强社区华发北路7号龙胜数码广场1层1号CD座1D40","15919423123","10000","2018/02/05","5000m²","51 - 100 人"
"永嘉县英科泵阀有限公司","YM109-20 25 30 35 40 45 50 55 65水泵碳化硅合金氟橡胶机械密封","¥33.25","https://dj.1688.com/ci_bb?a=20904&e=5qvnHcWln7Rnds0Do1QCD-QBfELY6sa3dFzsZZKSO9d53-szBORA4-0L7kE4U4gE1YrEvRTtDHo7XCoGa4QVFB-fSBkdTvmpBEeClI3lvaS1AIyzlUVL2h9VbnOmJV9Tioo1oI4BOweTfDDai0KlDnZuWS4sQ05C2tnapgCGipU75n--7FJFjl2YLsY7IFLW9sDPy2kKggOPkfBNUszWPSRBAd7kAd.UdNK-BHh73o3WoDDolo5g7mArx7mTN6Jr9mpfJAWcp5YLOj9qT2QdeEL0N9vFyQhfkAfme0XYssY49CldrfkUGonLRlonNomb4JKKVHu5qpLw4lqtofhgyqRjWmqhsY0tEa7gEM9FK8IW6875z2wI0m1DxKfTMe8auzAPTLFUdL18VV3ckK6H5qYjayN0LMuQdf6Pc1yfQA3C0t2k5mYEuwCcvRjyHIjTQsiaZZKD3Wt7.AQW3pToizef8rYhH-P6FrVUTYER3BmEZCRLy2ER3zze9hIM44ttELDBPe4Jy9OLtnyzpzgVuupnUTDedUiiKBHVYlDsYEIWD.VivgHzZV.H2kgPXlFHVDbl7QyrIeijcJCvAe-IzmlVfUFBxWL48Nxc6xZ2iD796fk7Qc2e5eVGoq2IHTi2r6Dbg8XAyqhMhes-wZWbkOYdgdzBwI6ujHRoYoRWp8ZSWKUp8ypw0W4ZIpJOknR5e2RY9WtpGfhIVPqOOqM.N.kv8xHWCtNbinpQppkv8R12n4PeS5uYYfosiOlpUpCue-v-95j93T3kfSkbXR0KacR713Q1IyQt87Bv96.VmEi9SVOMgYhVaVUn5UtWuKqZVyMEwfskN-x5exrvfBVW32o5WeURqQ5RH2RZEjvYeF2zHRBZbjoYKalzKBVbmOUL7WmfXLGMmP4Do9nmBjfLC.QP1MGmWhGg7UD6Cvsfi1vE6tYLCLVIzGDbNPwAisGOchgcVsFHVJeRK6U67jpeo-r0B7xVtgvrmLjZV3J4jgpcSKumzej-HCHme25LCWS657wy2PVQI..1WntRJl.YptuTM.3DFvBqFjD1edS9FI6doEKJXPqcT6oZ5Nx6JNOEyrhRYud-H9zAllzFpP2D3GQLHkyG7wbh0e4fheVva3zKa5t99pDEGpanM5Xw6LII8QMClIdtoak5zzKXimaxcue8Mtj1UCP.5rdqfs1bAjCpz6ZkhKpT9DhfBDx0zXEa12zuz9GcCW0pHFjKY8AQ37knYk68qqG9bjKc47JbIuwI.G9kxNQ4BUV6F.XwHOxuO-Z.vuxSRY6MScZjtOPFFgek52fTdo-nmzQQTBwCLdjMhXBHCpgyUhyr07H-6wDF&v=4&ap=3&rp=3&idx=12","https://cbu01.alicdn.com/img/ibank/O1CN01zANoZh1YRhHwhIXcT_!!947683056-0-cib.jpg","28","39.29%","39.29%","85.22%","0%","0%","实力工厂","4.0","20%","4.5","5.0","3.0","5.0","1.5","有限责任公司(自然人投资或控股)","17年","生产厂家","浙江 永嘉县 永嘉县","中国浙江温州永嘉县瓯北镇马岙村","13968989215","16000","2009/09/13","500m²","11 - 50 人"
"佛山市南海区膜趣奇数码产品厂","鹰眼适用iPhone14镜头膜11摄像头13promax保护12mini金属镜头圈膜","¥0.29","https://detail.1688.com/offer/689585595464.html","https://cbu01.alicdn.com/O1CN01ec3WkX25B68GkPMqS_!!2214148877487-0-cib.jpg","3625","99.62%","77.4%","97.09%","0.28%","0%","","5.0","49%","3.5","3.0","4.0","4.0","4.0","个体经营","2年","","广东 深圳市福田区 深圳市福田区","中国广东佛山南海区桂城街道佛平三路1号金色领域广场3座2794（住所申报）","","10000","2022/06/05","",""
"深圳市艾迩森科技有限公司","适用三星s24ultra鹰眼镜头膜s23金属玻璃s24plus防摔CD纹彩膜贴膜","¥1.30","https://detail.1688.com/offer/754541770658.html","https://cbu01.alicdn.com/O1CN01TuMpoe1IlopfiQdl9_!!2212929110934-0-cib.jpg","913","72.11%","71.98%","85.94%","0.11%","0%","供应商","4.0","44%","3.0","3.0","3.0","5.0","2.0","一人有限责任公司","3年","生产厂家","广东 深圳市 深圳市","中国广东深圳福田区华强北街道福强社区华强北路1046号经济大厦3层3D31","13923466329","16000","2021/12/08","180m²","5 人以下"
