"ชื่อร้าน","ชื่อผลิตภัณฑ์","ราคา","ลิงค์ผลิตภัณฑ์","ลิงค์รูปภาพ","จำนวนคำสั่งชำระเงินใน 30 วันที่ผ่านมา","อัตราการฟื้นตัว 48H ในช่วง 30 วันที่ผ่านมา","อัตราประสิทธิภาพ 48H ในช่วง 30 วันที่ผ่านมา","อัตราการตอบกลับ 3 นาทีในช่วง 30 วันที่ผ่านมา","อัตราการคืนเงินที่มีคุณภาพใน 30 วันที่ผ่านมา","อัตราการโต้แย้งใน 30 วันที่ผ่านมา","การรับรองความแข็งแกร่ง 1688","บริการทั่วไป","อัตราผลตอบแทน","แลกเปลี่ยนประสบการณ์","ประสบการณ์ที่มีคุณภาพ","ความตรงต่อเวลาของโลจิสติกส์","การระงับข้อพิพาท","ที่ปรึกษาการจัดซื้อจัดจ้าง","ลักษณะการลงทะเบียน","ช่วงเข้า","รูปแบบธุรกิจ","ที่ตั้ง","ที่อยู่","ข้อมูลติดต่อ","ระยะขอบ","ที่จัดตั้งขึ้น","พื้นที่องค์กร","จำนวนพนักงาน"
"义乌市速动电子商务商行","直销汽车手机支架车用车载手机支架皮纹手机支架 金属款车载支架","¥3.80","https://detail.1688.com/offer/613579539941.html","https://cbu01.alicdn.com/img/ibank/11665652483_1047714518.jpg","2556","89.86%","90.79%","74.12%","0.94%","0%","","4.0","61%","3.5","2.0","3.0","5.0","1.5","个体经营","6年","生产厂家","浙江 义乌市 义乌市","中国浙江金华义乌市廿三里街道麻车塘村71幢5单元302室（自主申报）","","2975","2018/08/07","300m²","11 - 50 人"
"汕头市澄海区优童乐贸易商行","跨境热销出风口挂钩手机支架车载支架专用汽车出风口手机支架批发","¥1.80","https://dj.1688.com/ci_bb?a=2209&e=fEHgWnMI2ySoFCMpNYlHP6hxwUXQbGuUJC7lhcHyCQ9SK177XwocpgPg2lpQm2T63-v3ffwi8Op2.-2jQpjMlByxcem4MKXBQ6ogTigAII5NOCRYhtuuO6Q12IV8K5TWvQtg.--p9Ah.YTsV105X6e1vcfEhFDOuqnmc6cwkZVNxqoSMtfhcsIWBgndzASXvcvBf5RIwxQZWNiEf.C4nOafBn0z1542JfinA8sXZ6AohpBZ78jVfW.UIaaWbpWH2XYNH0u-A4fV9VklywB63FnzC.r4vC4I3yRuS9.5tc6OtkiGG9S.m6FiKTqHGL9oqCgieoKC0UQLAzFJa-oUAh4iV9oIiYtzmuK.yIHhxLg9Pcs1DjOJjIaL8oK5JV7ouKdRpID9Tu2gLmMg-f1aMPWLdVo1ryNVGebua11qKn.-X6Bq-ET3.uOu6Xh4M6moOMilrX7ajJX.pzsL8PSrYecR8631gKGXG-FOCe2fjpzyYy.Qecaok0rcxV3ZnGgP7E1pYg7ouQcLGlOtep0qBhNOSk6GqtlXbHHi0QLH00q5UXI80rqVxPNv2ZFdoTvon43D9aYwbJvUCKUkNZkhKxxOIi2D13gLj7.9vdmgDMU.Dc4QEe7Sww7QHuM1X8.pH-qWsKHhfyiNdlsLi.RcmW1J8ktw2fq5J3PhltcGttWfPR9jAmo7xGmuLdwwB68xty36RP1PV-z3eoTyZ238igxHSL2N9J67j4w23I6JqbYW.ji9hvvZ.IbPYp4OWzKZ.o8LBfPgK3gLK5gtmiu9GnZh1VCQSIo.QyKRk9yinHBdTjqm-kGnIZNJLU2LcKuETZvBqRg.v28qK5os2UnmAl.yuNfXuSuJjF0p4HYSd.54odA.j6LhnLLorvZftiTFKXq84trsb9WgmlPZEtipAY54g8JI6xn-YoUMY-Ga1HwQeRqC7CXC6WoMhtwAuWlYkwomb9h9P07RiFrs3kGv6dPbgHMUB8DN1p63qQ46aNP5zX3CBd-qWNMqgEynf10XYTquncFWg6Da9LBuSTiRgG8Lj.6LFWQDLdjhA3CiwoXgjPtBAshbDlc3PBXEyExvbLYy6SDwZYweraCdkMYo.y8DgqF9Fg-qX2ydy1tJSjF0RrI3uim5LU2ZdxEb-.KSmR8eL-zrZwtmHxzzPPREHun1.VprgkAWNx-7hdkEQEY0zqwCMwdgdGM2Py6AkNlDtOD86ECs1yTDNzwVxMhMb2.oJ.tZBkP8HC0VOGiYbVAk-cVXbtcXwShUGz7DAhvTdtPM409C4mKFTJ.eN15ldYnd6yBUjWLe2v1pSMgYdnlqsoZHWdAMpNfpzsVPbsd8L1gtNlBmutqCeN1NWHW5VQWHTRiPpuve93X3Mu-FZ5t6-pcBNzQnqxApJ.EYD58K7&v=4&ap=4&rp=4&idx=18","https://cbu01.alicdn.com/img/ibank/O1CN01OsOKpo1rXd7KMQuA6_!!2214145585641-0-cib.jpg","32","94.44%","95.24%","94.31%","3.13%","0%","","4.0","62%","5.0","5.0","2.0","5.0","4.0","个体经营","2年","生产厂家","广东 汕头市澄海区 汕头市澄海区","中国广东汕头澄海区东里镇和洲工业区(自主承诺申报)","13433805186","10000","2022/05/30","5000m²","11 - 50 人"
"东莞市怡泰五金塑胶制品有限公司","新款车载皮纹支架创意出风口重力感应汽车手机架车内导航支架现货","¥4.00","https://detail.1688.com/offer/594431318588.html","https://cbu01.alicdn.com/img/ibank/11032783838_614095209.jpg","720","98.93%","98.93%","99.38%","0.14%","0%","实力工厂","5.0","48%","3.0","4.0","5.0","5.0","5.0","有限责任公司(自然人投资或控股)","9年","生产厂家","广东 东莞市 东莞市","中国广东东莞桥头镇桥头社区便埔二路2A号一楼F区","13790918299","16000","2014/07/15","1800m²","51 - 100 人"
"深圳市盛世优品科技有限公司","皮纹重力支架适用汽车出风口支架定LOGO制多功能车载手机导航支架","¥3.23","https://detail.1688.com/offer/610389177545.html","https://cbu01.alicdn.com/O1CN01t4qO131wZzDKvoMv2_!!3446506323-0-cib.jpg","2017","99.61%","99.61%","99.73%","0.05%","0%","","5.0","45%","3.0","5.0","4.0","5.0","5.0","有限责任公司","7年","生产厂家","广东 深圳市光明新区 深圳市光明新区","中国广东深圳光明区马田街道石家社区上石家工业区三栋201","15338862286","16000","2017/07/20","6000m²","11 - 50 人"
"深圳市宝安区鸿基永盛电子厂","汽车出风口导航支架车载手机支架一字创意重力手机支架跨境批发","¥3.53","https://detail.1688.com/offer/676034182955.html","https://cbu01.alicdn.com/O1CN011FldHt20DmLP82oVD_!!3943876816-0-cib.jpg","237","96.1%","95.43%","66.59%","0%","0%","","4.0","66%","3.0","2.0","4.0","5.0","3.0","个体经营","6年","生产厂家","广东 深圳市 深圳市","中国广东深圳宝安区沙井街道沙三社区西部工业园马安山帝堂工业区1号二层","15953769819","10000","2018/05/20","100m²","11 - 50 人"
"长沙市芙蓉区于愉电子商务中心","新款汽车车载手机支架汽车感应支撑架卡扣式出风口导航支架无线","¥6.90","https://detail.1688.com/offer/771720818257.html","https://cbu01.alicdn.com/O1CN01eZcysY25Oq9tqeAOK_!!2216348207517-0-cib.jpg","507","99.38%","99.38%","71.51%","0.2%","0%","","4.0","48%","3.5","2.0","4.0","5.0","4.0","个体经营","1年","","湖南 长沙市芙蓉区 长沙市芙蓉区","中国湖南长沙芙蓉区五里牌街道燕山街社区燕山街116号-1010","18573176261","2995","2023/08/01","",""
"义乌市创序电子商务商行","新款车载皮纹支架创意出风口重力感应汽车手机架车内导航支架现货","¥3.61","https://detail.1688.com/offer/654813044664.html","https://cbu01.alicdn.com/O1CN01QPpNoY24WnCeq1yWc_!!2212447647399-0-cib.jpg","3811","89.1%","88.84%","74.1%","1.47%","0%","","4.0","55%","3.5","2.0","3.0","4.0","1.5","个体经营","3年","生产厂家","浙江 金华市 金华市","中国浙江金华义乌市廿三里街道下朱宅祥民路161号1单元501室(自主申报)","19524100902","15663","2021/08/26","3000m²","11 - 50 人"
"深圳市蚂蚁精神实业有限公司","可360度旋转汽车出风口车载手机支架 汽车重力自动夹手机导航支架","¥4.50","https://dj.1688.com/ci_bb?a=2209&e=k1DNGjcUK-2oFCMpNYlHP6hxwUXQbGuUJC7lhcHyCQ9SK177XwocpgPg2lpQm2T63-v3ffwi8OpwDOYsL12bnYsR2AUHtysJ9Ak6pKEmHIzFbYt88o8vpKQ12IV8K5TWvQtg.--p9Ah.YTsV105X6Z0IHNBqEf7qef8IkopsODq8E-WdZedbhnpvrTZsexbZicDbxYXZyioLmsdCeRlKC8egBj7uzgkFdRi-87-zilUdPjT9oZpg3v-zhhKSqT8X1OvZchlQds3JG5L3.m1zo62SIYb1L-boWIpOocYv2ioKCJ6goLRRAsDMUlr6hQCHiJX2giJi3Oa4r.IgeHEuD09yzUOM4mMhovygrklXui4p1GkgP1O7aAuYyD5.Vow9Yt1WjWvI1UZ5u5rXWoqf.9HjM7hXXdM367peHgzqag7FtApG9z30MOnOwvw9Kth5xHzrfWAoZcbjPq.C23y34u.roCbpUUihtzFXdmcaA.sTWliDui5Bwl6jAOVn1Y2w1vvCiYtgs10.GE6gX.8DUkFnQXuwbZt5ZMgKFPphK35W9ER-FIOIDIJSZaNJ.RadsqpInlFH8Q7reJlanU4S6PJZjIsaQxK074zTNA6i3w323YTpXjwyZlR7cgTMIDF2dj4SOSKLJeFcQexUEoYn1M6EY8vXgemrr7JL7D30XGkyK-Yna44-ooxVogkncnYmMivmJ2uOPqKfzO1k3JSuQbclLwbcmhY5VILVTVy4js1WOEE46h7LkGDWHpp9RmWxEF2BQdtE6xQ.AAVT-W4rnhvG3eq.qAlf-WmAbV5DPXlHLxxmUpvsu.6UGDWQxKO4KiX9CHyOqFFwKwZi6nO6-eX3tWwa-MybMAQc9Zfi1B6LU2QrzmcMKxVsyoufHz8fv75qrDf7RKbbnhNNv50qG4b8rgdKOLkZGkumKoZUjFMkD8G4XE7XkB-Aqvl-7FlmeqwBK0wE8Lw2kYcPc.tghkog3wl2wT-gNiB1fOpUsFpHT3GUz-hWVrUapuDwKYK-6zuKu0uzEvGlAKgaHpi4217QCtSAHN-0TmTrWo04moMtIYXoEV5cCuUCUQ27K9oRzjvLExUt59.rO4q7S7MS8R8YohbdNLBXMxeeHt-W4RY4qBflObO97lOzUu6kUj8gpsJuMrnTr3sYvVVcf2oPgVssn7TGuChZgryAoM-7UnAzF54e35bhFiHUiG346WSjNoIrqcG-iXv4WmRr7zeX4ki6pjwpP42H6zuKu0uzEvEdIZux3-S-7n3fmDx9qdzq7suxCHsZ9xtisbdALnvLvHEAyHE3SU-0IhXQglOxjK4rn.0.AJ8qefOT7-0M0uQRxqk9xTF1gwyyHALinskcN.qao8Fh6leDly47ukj.epI_&v=4&ap=3&rp=3&idx=12","https://cbu01.alicdn.com/img/ibank/8938789776_720354991.jpg","86","93.75%","93.75%","67.81%","0%","0%","","4.0","38%","2.5","2.0","3.0","5.0","3.0","一人有限责任公司","4年","经销批发","广东 深圳市 深圳市","中国广东深圳南山区南头街道马家龙社区南山大道3186号明江大厦C单元五层506室（入驻深圳市可乐商务秘书有限公司）","18823665819","9995","2019/09/01","","51 - 100 人"
"泉州市誉达网络科技服务有限公司","手机支架桌面电动车车载床头直播懒人自拍摩托车旋转指环浴室外卖","¥3.00","https://detail.1688.com/offer/771365500096.html","https://cbu01.alicdn.com/O1CN01ljNtD62H1jZ6XzkoZ_!!2216815409091-0-cib.jpg","29","95.83%","95.83%","64.42%","0%","0%","","4.0","83%","4.5","0.0","5.0","5.0","2.0","一人有限责任公司","1年","","浙江 东阳市 东阳市","中国福建泉州晋江市池店镇溜石村刺桐新村40号雅发公寓12楼","15375780001","3000","2022/10/16","",""
"南阳市宛城区波记电子手机配件店","汽车出风口车载支架多功能手机导航支架重力车载手机支架皮纹支架","¥3.41","https://detail.1688.com/offer/673279492472.html","https://cbu01.alicdn.com/O1CN01JovJaJ1hCsri7dIVn_!!2477724242-0-cib.jpg","658","94.15%","93.05%","86.93%","0.3%","0%","","4.0","43%","2.5","3.0","4.0","5.0","3.0","个体经营","9年","经销批发","河南 南阳市宛城区 南阳市宛城区","中国河南南阳工业技校向东100米","18637740135","10000","2014/06/04","","5 - 10 人"
